,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
BR,Bihar,Araria,2440932,69300,67,1499544,941388,1234972,1205104,856,33714,2407218,BR,Bihar,Araria,2452094.0,227100.0,228.0,1506759.0,944255.0,1240044.0,1210110.0,860.0,38971.0,2413123.0
BR,Bihar,Arwal,682412,19200,48,396509,285903,328623,353648,141,11531,670881,BR,Bihar,Arwal,689211.0,32900.0,87.0,401726.0,287204.0,331934.0,356855.0,141.0,16531.0,672680.0
BR,Bihar,Aurangabad,2597431,31600,115,1549630,1047801,1334611,1261968,852,68110,2529321,BR,Bihar,Aurangabad,2609914.0,138475.0,203.0,1559961.0,1049571.0,1340449.0,1268230.0,853.0,77447.0,2532467.0
BR,Bihar,Banka,2006827,14024,24,1168252,838575,986505,1019867,455,437164,1569663,BR,Bihar,Banka,2014143.0,65220.0,100.0,1172190.0,840990.0,989710.0,1023013.0,457.0,441072.0,1573071.0
BR,Bihar,Begusarai,2851590,16127,32,1669949,1181641,1356142,1494869,579,62687,2788903,BR,Bihar,Begusarai,2873698.0,153983.0,177.0,1681046.0,1189721.0,1365410.0,1504771.0,583.0,71918.0,2801780.0
BR,Bihar,Bhagalpur,3010333,216940,572,1758242,1252091,1523688,1486151,494,296922,2713411,BR,Bihar,Bhagalpur,3025029.0,134770.0,329.0,1767342.0,1255586.0,1529886.0,1492547.0,495.0,304949.0,2720080.0
BR,Bihar,Bhojpur,2628928,155451,297,1542371,1086557,1311118,1317209,601,107482,2521446,BR,Bihar,Bhojpur,2648900.0,285513.0,539.0,1556855.0,1090858.0,1320402.0,1326708.0,603.0,120945.0,2527955.0
BR,Bihar,Buxar,1877857,91230,248,1053956,823901,934422,943074,361,211307,1666550,BR,Bihar,Buxar,1888453.0,141745.0,343.0,1059578.0,827449.0,938875.0,947790.0,362.0,216071.0,1672382.0
BR,Bihar,Darbhanga,4031051,271528,156,2311953,1719098,1879419,2150773,859,792368,3238110,BR,Bihar,Darbhanga,4053027.0,373593.0,183.0,2329214.0,1723106.0,1889316.0,2162143.0,861.0,809331.0,3243115.0
BR,Bihar,East Champaran,5335907,262025,339,2867041,2468866,2616253,2718491,1163,1346220,3989687,BR,Bihar,East Champaran,5359119.0,253370.0,344.0,2882356.0,2472761.0,2625525.0,2728423.0,1169.0,1361022.0,3998097.0
BR,Bihar,Gaya,4280446,256900,126,2676830,1603616,2138482,2140809,1155,556808,3723638,BR,Bihar,Gaya,4315511.0,990850.0,504.0,2699079.0,1612133.0,2153446.0,2156603.0,1163.0,577128.0,3738383.0
BR,Bihar,Gopalganj,2603181,88034,164,1474416,1128765,1225388,1377149,644,69802,2533379,BR,Bihar,Gopalganj,2622490.0,130475.0,240.0,1487692.0,1133913.0,1233742.0,1387217.0,646.0,81252.0,2541238.0
BR,Bihar,Jamui,1653877,28110,102,973710,680167,800270,853338,269,42338,1611539,BR,Bihar,Jamui,1666488.0,203520.0,503.0,979073.0,686453.0,805817.0,859437.0,272.0,45793.0,1620695.0
BR,Bihar,Jehanabad,1031736,35285,28,624706,407030,498724,532750,262,28629,1003107,BR,Bihar,Jehanabad,1038350.0,216101.0,76.0,629193.0,408746.0,501984.0,535692.0,263.0,32557.0,1005793.0
