,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
GJ,Gujarat,Vadodara,1154121,15949,1267445,GJ,Gujarat,Vadodara,1154567.0,16136.0,1267705.0
GJ,Gujarat,Vadodara,1393504,25419,1634755,GJ,Gujarat,Vadodara,1394073.0,26849.0,1647174.0
GJ,Gujarat,Valsad,1330248,15504,1562922,GJ,Gujarat,Valsad,1330913.0,15962.0,1563536.0
HR,Haryana,Ambala,904277,3266,1019702,HR,Haryana,Ambala,904558.0,3419.0,1020005.0
HR,Haryana,Bhiwani,712013,1702,814767,HR,Haryana,Bhiwani,712617.0,1783.0,815241.0
HR,Haryana,Charkhi Dadri,353596,1085,400088,HR,Haryana,Charkhi Dadri,355613.0,1151.0,401332.0
HR,Haryana,Faridabad,1445617,5317,1995839,HR,Haryana,Faridabad,1450320.0,5817.0,2000825.0
HR,Haryana,Fatehabad,437537,462,576396,HR,Haryana,Fatehabad,438192.0,513.0,576985.0
HR,Haryana,Gurugram,2059772,12216,2853909,HR,Haryana,Gurugram,2064958.0,13049.0,2859548.0
HR,Haryana,Hisar,841469,4183,1086249,HR,Haryana,Hisar,842831.0,4240.0,1087731.0
HR,Haryana,Jhajjar,588867,1188,786910,HR,Haryana,Jhajjar,590012.0,1231.0,788066.0
HR,Haryana,Jind,589137,1071,762452,HR,Haryana,Jind,589765.0,1075.0,763108.0
HR,Haryana,Kaithal,612586,1562,756080,HR,Haryana,Kaithal,612755.0,1587.0,756289.0
HR,Haryana,Karnal,885247,3520,1105907,HR,Haryana,Karnal,885774.0,3630.0,1106539.0
HR,Haryana,Kurukshetra,528408,1367,652406,HR,Haryana,Kurukshetra,528881.0,1396.0,652852.0
HR,Haryana,Mahendragarh,510590,1711,614407,HR,Haryana,Mahendragarh,510845.0,1775.0,614639.0
HR,Haryana,Nuh,277635,477,568165,HR,Haryana,Nuh,278962.0,484.0,569402.0
HR,Haryana,Palwal,517446,704,705970,HR,Haryana,Palwal,519003.0,756.0,707365.0
HR,Haryana,Panchkula,446734,4257,527243,HR,Haryana,Panchkula,447041.0,4363.0,527572.0
HR,Haryana,Panipat,698469,1813,1015028,HR,Haryana,Panipat,701122.0,2004.0,1017608.0
HR,Haryana,Rewari,612430,2753,768125,HR,Haryana,Rewari,613165.0,2924.0,768921.0
HR,Haryana,Rohtak,587300,1756,781477,HR,Haryana,Rohtak,587989.0,1794.0,782319.0
HR,Haryana,Sirsa,726303,1443,922017,HR,Haryana,Sirsa,726601.0,1512.0,922349.0
HR,Haryana,Sonipat,827073,1809,1146366,HR,Haryana,Sonipat,828930.0,1992.0,1148432.0
HR,Haryana,Yamunanagar,681487,2779,878463,HR,Haryana,Yamunanagar,683661.0,2824.0,880006.0
HP,Himachal Pradesh,Bilaspur,322614,1744,331197,HP,Himachal Pradesh,Bilaspur,322614.0,1744.0,331197.0
HP,Himachal Pradesh,Chamba,358191,2087,374574,HP,Himachal Pradesh,Chamba,358191.0,2087.0,374574.0
HP,Himachal Pradesh,Hamirpur,366164,2515,362859,HP,Himachal Pradesh,Hamirpur,366164.0,2515.0,362859.0
HP,Himachal Pradesh,Kangra,1156387,7995,1175785,HP,Himachal Pradesh,Kangra,1156387.0,7995.0,1175785.0
HP,Himachal Pradesh,Kinnaur,69747,1358,90153,HP,Himachal Pradesh,Kinnaur,69747.0,1358.0,90167.0
HP,Himachal Pradesh,Kullu,332487,1868,384223,HP,Himachal Pradesh,Kullu,332487.0,1868.0,384223.0
HP,Himachal Pradesh,Lahaul and Spiti,25660,386,36032,HP,Himachal Pradesh,Lahaul and Spiti,25660.0,386.0,36032.0
